banana;Mean=31.4471112;SD=12.9461738;Count=125
bleach;Mean=31.863667;SD=64.9463011;Count=90
bowl;Mean=28.627717;SD=63.0753275;Count=155
fork;Mean=91.604065;SD=19.7857714;Count=155
hammer;Mean=81.3667186;SD=25.6118972;Count=155
kitchenknife;Mean=94.4095205;SD=47.1606295;Count=35
mug;Mean=32.0149433;SD=4.56424109;Count=150
mustard;Mean=32.9636678;SD=60.609352;Count=135
plate;Mean=21.5635011;SD=54.8143086;Count=140
powerdrill;Mean=77.9094337;SD=27.2934322;Count=145
skillet;Mean=40.8541494;SD=8.73788611;Count=95
spatula;Mean=109.976997;SD=26.1485637;Count=15
