banana;Mean=71.1557643;SD=27.1873437;Count=125
bleach;Mean=25.7897257;SD=58.3999341;Count=90
bowl;Mean=29.8193546;SD=63.5081646;Count=155
fork;Mean=91.6979884;SD=27.3082264;Count=155
hammer;Mean=79.7686922;SD=26.3984836;Count=155
kitchenknife;Mean=74.1100791;SD=46.3096986;Count=35
mug;Mean=12.6394266;SD=6.07319213;Count=150
mustard;Mean=35.449867;SD=58.8153911;Count=135
plate;Mean=21.5635011;SD=54.8143086;Count=140
powerdrill;Mean=77.5805369;SD=31.5265732;Count=145
skillet;Mean=38.5839393;SD=23.4848154;Count=95
spatula;Mean=105.609927;SD=34.9567089;Count=15
